papel,Tipo,Empresa,setor,Subsetor,Valor_de_mercado,Valor_da_firma,ult_balanco_processado,numero_de_acoes,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrimonio_Liq,PSR,VPA,LPA,P/l,P/VP,P/EBIT,Marg_Liquida%,Div_Yield_%,ROIC_%,ROE_%,Liquidez_Corr
WEGE3,ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",40063400000.0,40305600000.0,31/12/2018,2098660000.0,15399800000.0,3529890000.0,9438580000.0,3772110000.0,242226000.0,7714270000.0,3.35,3.68,0.64,29.94,5.19,22.72,11.2,1.8,16.0,17.3,1.87
VVAX4,PN,VIVAX SA PN,,,,115336000.0,30/06/2007,110398000.0,526477000.0,108439000.0,132215000.0,223775000.0,115336000.0,144676000.0,,0.0,0.0,0.0,0.0,,-37.8,0.0,-6.5,-92.0,2.19
VVAX3,ON,VIVAX SA ON,,,,115336000.0,30/06/2007,110398000.0,526477000.0,108439000.0,132215000.0,223775000.0,115336000.0,144676000.0,,0.0,0.0,0.0,0.0,,-37.8,0.0,-6.5,-92.0,2.19
VVAR4,PN,VIAVAREJO PN,Comércio,Eletrodomésticos,6264650000.0,6952650000.0,31/12/2018,1294350000.0,21056000000.0,3711000000.0,13544000000.0,4399000000.0,688000000.0,2523000000.0,0.23,1.95,-0.21,-23.46,2.48,5.55,-1.0,0.2,13.0,-10.6,0.91
VVAR11,UNT N2,VIAVAREJO UNT N2,Comércio,Eletrodomésticos,6290540000.0,6978540000.0,31/12/2018,1294350000.0,21056000000.0,3711000000.0,13544000000.0,4399000000.0,688000000.0,2523000000.0,0.23,5.85,-0.62,-23.56,2.49,5.58,-1.0,0.2,13.0,-10.6,0.91
VVAR3,ON,VIAVAREJO ON,Comércio,Eletrodomésticos,5941070000.0,6629070000.0,31/12/2018,1294350000.0,21056000000.0,3711000000.0,13544000000.0,4399000000.0,688000000.0,2523000000.0,0.22,1.95,-0.21,-22.25,2.35,5.27,-1.0,0.3,13.0,-10.6,0.91
VULC4,PN,VULCABRAS S/A. PN,"Tecidos, Vestuário e Calçados",Calçados,4423610000.0,4414990000.0,31/12/2018,245756000.0,1326770000.0,68626000.0,800259000.0,60006000.0,-8620000.0,941162000.0,3.54,3.83,0.62,29.08,4.7,27.34,12.2,0.0,13.5,16.2,2.91
VULC3,ON,VULCABRAS S/A. ON,"Tecidos, Vestuário e Calçados",Calçados,1816140000.0,1807520000.0,31/12/2018,245756000.0,1326770000.0,68626000.0,800259000.0,60006000.0,-8620000.0,941162000.0,1.45,3.83,0.62,11.94,1.93,11.23,12.2,0.0,13.5,16.2,2.91
VNET3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,,,31/12/2018,2716820000.0,82563100000.0,2874420000.0,65967300000.0,7862980000.0,4988550000.0,14870100000.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,22.5,
VLID3,ON NM,VALID ON NM,Serviços,Serviços Diversos,1405270000.0,1924540000.0,31/12/2018,71225000.0,2247240000.0,311571000.0,962385000.0,830841000.0,519270000.0,1071910000.0,0.81,15.05,1.4,14.05,1.31,6.98,5.8,4.9,11.0,9.3,2.07
